iter	Passed	Remaining
0	7	7205
1	12	6218
2	15	5249
3	19	4903
4	24	4881
5	28	4662
6	31	4461
7	35	4358
8	38	4234
9	42	4194
10	45	4131
11	49	4064
12	53	4073
13	58	4115
14	62	4088
15	66	4098
16	70	4092
17	75	4107
18	88	4568
19	92	4540
20	96	4511
21	101	4497
22	105	4480
23	109	4460
24	113	4427
25	117	4411
26	121	4395
27	126	4377
28	130	4353
29	133	4325
30	139	4348
31	143	4340
32	148	4359
33	155	4416
34	159	4393
35	167	4489
36	177	4619
37	191	4846
38	209	5170
39	214	5136
40	219	5137
41	223	5102
42	228	5085
43	232	5050
44	236	5016
45	246	5108
46	253	5146
47	261	5187
48	266	5173
49	270	5143
50	274	5107
51	279	5090
52	283	5059
53	291	5111
54	304	5232
55	309	5221
56	315	5220
57	319	5196
58	323	5156
59	326	5115
60	329	5076
61	333	5050
62	337	5025
63	344	5038
64	349	5021
65	352	4987
66	355	4952
67	359	4922
68	362	4895
69	366	4866
70	370	4842
71	374	4821
72	377	4797
73	380	4766
74	384	4739
75	387	4713
76	392	4699
77	395	4675
78	399	4661
79	403	4639
80	408	4629
81	412	4613
82	415	4591
83	419	4569
84	422	4553
85	426	4534
86	430	4520
87	433	4497
88	437	4476
89	441	4460
90	444	4444
91	448	4426
92	451	4405
93	454	4385
94	458	4369
95	462	4351
96	465	4332
97	468	4313
98	472	4301
99	476	4285
100	479	4267
101	482	4251
102	486	4235
103	489	4217
104	492	4200
105	496	4183
106	499	4166
107	502	4150
108	505	4134
109	509	4119
110	512	4105
111	515	4091
112	519	4075
113	522	4061
114	526	4051
115	532	4057
116	536	4047
117	539	4032
118	542	4019
119	546	4005
120	550	3997
121	553	3985
122	557	3972
123	560	3959
124	567	3972
125	570	3960
126	574	3947
127	577	3936
128	581	3926
129	585	3915
130	588	3903
131	593	3903
132	601	3919
133	605	3911
134	608	3899
135	612	3888
136	616	3882
137	619	3870
138	622	3857
139	626	3845
140	629	3833
141	633	3825
142	636	3817
143	642	3816
144	647	3818
145	651	3808
146	654	3797
147	658	3788
148	662	3781
149	665	3770
150	668	3759
151	672	3753
152	676	3744
153	682	3746
154	685	3735
155	688	3724
156	691	3714
157	695	3704
158	700	3702
159	704	3696
160	707	3689
161	711	3681
162	715	3676
163	720	3673
164	725	3673
165	729	3666
166	733	3659
167	738	3655
168	741	3648
169	745	3638
170	748	3629
171	751	3619
172	755	3609
173	759	3604
174	762	3596
175	766	3589
176	770	3581
177	773	3573
178	777	3565
179	780	3557
180	784	3550
181	788	3542
182	792	3538
183	796	3531
184	799	3523
185	803	3515
186	807	3511
187	810	3502
188	814	3493
189	817	3485
190	820	3476
191	824	3470
192	827	3461
193	832	3460
194	836	3452
195	839	3445
196	843	3438
197	852	3454
198	863	3477
199	870	3482
200	882	3506
201	892	3524
202	895	3515
203	898	3507
204	902	3499
205	913	3522
206	922	3535
207	927	3533
208	931	3525
209	935	3518
210	938	3509
211	942	3504
212	947	3499
213	950	3492
214	954	3484
215	957	3476
216	962	3474
217	966	3466
218	973	3472
219	979	3472
220	982	3463
221	986	3458
222	990	3451
223	994	3444
224	997	3437
225	1001	3430
226	1005	3423
227	1008	3415
228	1011	3406
229	1015	3399
230	1018	3390
231	1021	3382
232	1025	3374
233	1029	3371
234	1033	3363
235	1036	3356
236	1040	3350
237	1043	3341
238	1047	3334
239	1051	3328
240	1054	3320
241	1057	3312
242	1061	3306
243	1065	3300
244	1069	3294
245	1072	3287
246	1075	3280
247	1079	3273
248	1083	3267
249	1086	3259
250	1090	3255
251	1097	3258
252	1102	3254
253	1110	3262
254	1116	3260
255	1121	3259
256	1131	3271
257	1139	3277
258	1145	3278
259	1156	3291
260	1161	3288
261	1168	3291
262	1175	3294
263	1180	3289
264	1185	3287
265	1189	3282
266	1194	3280
267	1199	3276
268	1209	3285
269	1213	3281
270	1222	3287
271	1227	3284
272	1241	3305
273	1245	3299
274	1253	3304
275	1256	3296
276	1259	3288
277	1263	3281
278	1270	3283
279	1274	3276
280	1277	3268
281	1281	3262
282	1284	3254
283	1288	3247
284	1291	3239
285	1298	3242
286	1302	3234
287	1305	3227
288	1308	3220
289	1312	3212
290	1315	3204
291	1318	3197
292	1321	3189
293	1325	3182
294	1328	3175
295	1335	3175
296	1338	3168
297	1342	3162
298	1346	3155
299	1349	3148
300	1352	3141
301	1363	3151
302	1369	3150
303	1375	3149
304	1380	3145
305	1383	3138
306	1388	3134
307	1391	3127
308	1395	3120
309	1398	3112
310	1402	3106
311	1405	3099
312	1408	3092
313	1412	3085
314	1415	3078
315	1419	3072
316	1422	3065
317	1426	3059
318	1429	3051
319	1433	3045
320	1436	3038
321	1440	3032
322	1447	3033
323	1450	3027
324	1454	3021
325	1458	3015
326	1462	3010
327	1466	3004
328	1469	2997
329	1473	2990
330	1476	2983
331	1479	2976
332	1482	2969
333	1486	2963
334	1489	2956
335	1493	2951
336	1497	2945
337	1500	2938
338	1503	2932
339	1507	2925
340	1511	2920
341	1514	2914
342	1518	2908
343	1521	2901
344	1525	2896
345	1528	2889
346	1532	2883
347	1536	2879
348	1540	2872
349	1543	2867
350	1551	2868
351	1554	2862
352	1559	2857
353	1562	2851
354	1566	2845
355	1569	2839
356	1573	2833
357	1576	2826
358	1580	2821
359	1584	2816
360	1587	2810
361	1591	2804
362	1594	2798
363	1598	2792
364	1603	2789
365	1608	2785
366	1616	2788
367	1620	2782
368	1623	2776
369	1627	2770
370	1630	2764
371	1635	2760
372	1638	2754
373	1642	2748
374	1646	2744
375	1656	2748
376	1660	2744
377	1665	2740
378	1668	2734
379	1672	2728
380	1675	2721
381	1678	2715
382	1682	2710
383	1685	2704
384	1689	2699
385	1693	2693
386	1696	2687
387	1700	2681
388	1703	2675
389	1706	2669
390	1710	2663
391	1713	2658
392	1717	2652
393	1720	2646
394	1724	2640
395	1728	2636
396	1731	2630
397	1735	2625
398	1739	2619
399	1742	2614
400	1746	2608
401	1749	2603
402	1753	2596
403	1756	2591
404	1759	2584
405	1762	2579
406	1766	2573
407	1769	2567
408	1772	2561
409	1775	2555
410	1779	2549
411	1782	2543
412	1785	2537
413	1788	2531
414	1791	2525
415	1796	2521
416	1799	2516
417	1803	2510
418	1806	2504
419	1809	2498
420	1812	2492
421	1815	2486
422	1818	2480
423	1821	2474
424	1824	2468
425	1827	2462
426	1830	2456
427	1833	2450
428	1836	2444
429	1839	2438
430	1842	2432
431	1845	2426
432	1848	2420
433	1851	2414
434	1854	2409
435	1857	2403
436	1861	2397
437	1866	2394
438	1869	2388
439	1872	2382
440	1875	2377
441	1878	2371
442	1881	2366
443	1884	2360
444	1888	2354
445	1891	2349
446	1894	2343
447	1897	2337
448	1900	2332
449	1903	2326
450	1906	2320
451	1909	2314
452	1912	2308
453	1915	2303
454	1918	2297
455	1921	2291
456	1924	2286
457	1927	2280
458	1930	2275
459	1933	2269
460	1937	2264
461	1940	2259
462	1942	2253
463	1945	2247
464	1948	2242
465	1952	2236
466	1955	2231
467	1957	2225
468	1961	2220
469	1963	2214
470	1967	2209
471	1970	2204
472	1974	2199
473	1977	2194
474	1980	2188
475	1983	2183
476	1986	2178
477	1989	2172
478	1993	2168
479	1996	2162
480	1999	2157
481	2003	2152
482	2009	2151
483	2013	2146
484	2016	2140
485	2019	2135
486	2022	2130
487	2026	2125
488	2030	2122
489	2033	2116
490	2036	2111
491	2040	2106
492	2043	2101
493	2046	2096
494	2053	2094
495	2056	2090
496	2060	2085
497	2063	2080
498	2067	2075
499	2075	2075
500	2079	2071
501	2084	2067
502	2088	2063
503	2091	2058
504	2094	2053
505	2097	2048
506	2100	2042
507	2104	2038
508	2108	2033
